assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
-2.7,-3.9,-0.047,-0.06,-0.008,-0.001,-0.006,-13.9,-3.4,-4,1.8,0.048,0.049,0.084,0.057,-0.4,-0.012,0.014,2.8,0.048,-0.6,0.065,2.5,-2.4,-3.38,0.076,0.001,-2.8,-0.041,3.6,-0.07,-0.504,-21,0
2.5,1.6,0.067,0.05,-0.043,-0.081,-0.055,15.8,7.5,-19.5,-4.5,-0.12,-0.099,-0.099,-0.068,-11.1,-0.016,-0.087,-10.5,-0.109,0.7,-0.112,-3.9,-1.9,-2.27,0.078,0.026,10.5,0.044,-2.8,0.082,0.73,25,1
-2.5,-1.6,-0.067,-0.05,0.043,0.081,0.055,-15.8,-7.5,19.5,4.5,0.12,0.099,0.099,0.068,11.1,0.016,0.087,10.5,0.109,-0.7,0.112,3.9,1.9,2.27,-0.078,-0.026,-10.5,-0.044,2.8,-0.082,-0.73,-25,0
1,2,0.01,0.007,0.072,0.111,0.087,9.1,5.6,-0.9,-4.2,-0.029,-0.027,-0.02,0.004,-3.6,0.009,-0.012,-5.1,-0.018,-2.2,-0.038,2.4,0.3,-0.19,0.009,0.009,5.1,0.03,-0.3,0.008,0.219,7,1
-1,-2,-0.01,-0.007,-0.072,-0.111,-0.087,-9.1,-5.6,0.9,4.2,0.029,0.027,0.02,-0.004,3.6,-0.009,0.012,5.1,0.018,2.2,0.038,-2.4,-0.3,0.19,-0.009,-0.009,-5.1,-0.03,0.3,-0.008,-0.219,-7,0
-1.7,3.6,-0.01,-0.016,-0.025,0.072,0.006,-0.6,3.5,-2.3,0.7,-0.006,0.007,0.009,0.001,4.7,-0.061,-0.004,0.3,-0.006,0.3,-0.001,3.1,0.1,0.48,0.04,-0.004,-0.3,0,1.2,-0.011,-0.03,-1,1
1.7,-3.6,0.01,0.016,0.025,-0.072,-0.006,0.6,-3.5,2.3,-0.7,0.006,-0.007,-0.009,-0.001,-4.7,0.061,0.004,-0.3,0.006,-0.3,0.001,-3.1,-0.1,-0.48,-0.04,0.004,0.3,0,-1.2,0.011,0.03,1,0
-3.8,-1.5,-0.032,-0.027,-0.066,-0.002,-0.051,-3.3,3.3,4.5,-0.5,0.024,0.017,0.042,0.038,-1.6,0.014,0.027,-0.3,0.028,0.3,0.015,-0.8,0.3,1.33,0.021,-0.043,0.3,-0.034,-0.6,-0.013,-0.074,0,1
3.8,1.5,0.032,0.027,0.066,0.002,0.051,3.3,-3.3,-4.5,0.5,-0.024,-0.017,-0.042,-0.038,1.6,-0.014,-0.027,0.3,-0.028,-0.3,-0.015,0.8,-0.3,-1.33,-0.021,0.043,-0.3,0.034,0.6,0.013,0.074,0,0
-16,4,0,0.02,0.128,0.043,0.107,6.6,3.1,2.7,-0.7,-0.024,-0.006,0.091,0.075,-0.3,-0.078,-0.024,-1.4,-0.009,2.8,-0.011,-2.1,1.6,-1.6,-0.126,0.011,1.4,0.017,-1.7,-0.012,0.327,12,1
16,-4,0,-0.02,-0.128,-0.043,-0.107,-6.6,-3.1,-2.7,0.7,0.024,0.006,-0.091,-0.075,0.3,0.078,0.024,1.4,0.009,-2.8,0.011,2.1,-1.6,1.6,0.126,-0.011,-1.4,-0.017,1.7,0.012,-0.327,-12,0
-0.7,0.2,0.051,0.052,0.069,0.068,0.068,8.6,7.6,-1.3,-1.7,-0.051,-0.043,-0.011,-0.017,0.2,0.011,-0.048,-6.3,-0.049,0.1,-0.038,0.2,0.3,1.02,-0.024,0.019,6.3,0.058,3.6,0.063,0.282,11,1
0.7,-0.2,-0.051,-0.052,-0.069,-0.068,-0.068,-8.6,-7.6,1.3,1.7,0.051,0.043,0.011,0.017,-0.2,-0.011,0.048,6.3,0.049,-0.1,0.038,-0.2,-0.3,-1.02,0.024,-0.019,-6.3,-0.058,-3.6,-0.063,-0.282,-11,0
1.4,2.9,0.004,0.018,-0.006,0.033,0.005,-1.5,0.3,5.3,0.2,-0.036,-0.039,0.065,0.043,-3.4,0.04,-0.025,-3,-0.029,0.3,-0.037,4.4,0.3,1.74,-0.074,-0.009,3,0.008,1.7,0.02,0.094,3,1
-1.4,-2.9,-0.004,-0.018,0.006,-0.033,-0.005,1.5,-0.3,-5.3,-0.2,0.036,0.039,-0.065,-0.043,3.4,-0.04,0.025,3,0.029,-0.3,0.037,-4.4,-0.3,-1.74,0.074,0.009,-3,-0.008,-1.7,-0.02,-0.094,-3,0
19.9,2,0.026,0.021,-0.049,0.027,-0.023,-2.6,-0.5,5,-2.9,-0.004,-0.014,-0.006,0.006,-3.5,0.048,0.012,-2.7,0.001,-1,-0.019,3.5,-0.6,1.85,0.004,0.018,2.7,0.023,3.9,0.024,-0.018,0,1
-19.9,-2,-0.026,-0.021,0.049,-0.027,0.023,2.6,0.5,-5,2.9,0.004,0.014,0.006,-0.006,3.5,-0.048,-0.012,2.7,-0.001,1,0.019,-3.5,0.6,-1.85,-0.004,-0.018,-2.7,-0.023,-3.9,-0.024,0.018,0,0
-9.4,6.6,0.046,0.027,-0.062,0.017,-0.036,8.1,-6.5,7,-2.3,-0.035,-0.05,0.073,0.047,5.4,0.066,0.017,4.7,-0.026,-0.1,-0.083,2.5,2.5,0.66,0.049,0.055,-4.7,0.038,-2.9,0.021,0.231,9,1
9.4,-6.6,-0.046,-0.027,0.062,-0.017,0.036,-8.1,6.5,-7,2.3,0.035,0.05,-0.073,-0.047,-5.4,-0.066,-0.017,-4.7,0.026,0.1,0.083,-2.5,-2.5,-0.66,-0.049,-0.055,4.7,-0.038,2.9,-0.021,-0.231,-9,0
-9.2,-4.1,-0.023,-0.026,-0.024,-0.018,-0.024,-5.3,-1.8,-1.8,-0.1,-0.017,-0.02,0.024,0.013,0.6,0.082,-0.061,1.7,-0.014,1.1,0.021,1.9,0.9,-0.32,0.003,0.011,-1.7,-0.025,0.3,-0.049,-0.182,-6,1
9.2,4.1,0.023,0.026,0.024,0.018,0.024,5.3,1.8,1.8,0.1,0.017,0.02,-0.024,-0.013,-0.6,-0.082,0.061,-1.7,0.014,-1.1,-0.021,-1.9,-0.9,0.32,-0.003,-0.011,1.7,0.025,-0.3,0.049,0.182,6,0
-0.2,-2.5,0.054,0.045,0.022,-0.047,0,9.6,1.2,-7.1,-0.9,0.02,0.027,-0.093,-0.07,-1.2,-0.037,-0.003,-1.6,0.009,-1.9,0.037,0.9,-2.9,0.55,0.011,0.043,1.6,0.042,-1.3,0.048,0.3,9,1
0.2,2.5,-0.054,-0.045,-0.022,0.047,0,-9.6,-1.2,7.1,0.9,-0.02,-0.027,0.093,0.07,1.2,0.037,0.003,1.6,-0.009,1.9,-0.037,-0.9,2.9,-0.55,-0.011,-0.043,-1.6,-0.042,1.3,-0.048,-0.3,-9,0
-10.5,-1.7,0.005,0.007,0.039,-0.057,0.009,-6.1,-10.1,-5.6,2.2,0.022,0.037,0.01,0.005,3.2,-0.079,-0.008,6.8,0.02,0.5,0.046,2.8,1.6,0.24,0.001,-0.012,-6.8,-0.002,0.6,0.018,-0.243,-8,1
10.5,1.7,-0.005,-0.007,-0.039,0.057,-0.009,6.1,10.1,5.6,-2.2,-0.022,-0.037,-0.01,-0.005,-3.2,0.079,0.008,-6.8,-0.02,-0.5,-0.046,-2.8,-1.6,-0.24,-0.001,0.012,6.8,0.002,-0.6,-0.018,0.243,8,0
0.6,0.2,0.018,-0.002,0.068,0.028,0.058,3.6,-1.3,-2,5.2,-0.023,-0.029,0.061,0.035,-8.6,0.025,0.015,-3.9,-0.018,1.5,-0.047,5.6,-1.6,0.51,0.152,-0.037,3.9,0.026,0.3,0.051,0.364,13,1
-0.6,-0.2,-0.018,0.002,-0.068,-0.028,-0.058,-3.6,1.3,2,-5.2,0.023,0.029,-0.061,-0.035,8.6,-0.025,-0.015,3.9,0.018,-1.5,0.047,-5.6,1.6,-0.51,-0.152,0.037,-3.9,-0.026,-0.3,-0.051,-0.364,-13,0
11,-3.2,0.001,-0.01,0.012,-0.041,-0.009,-2.9,-5.9,-10.2,0.5,-0.029,-0.027,0.109,0.07,-5.8,0.022,-0.033,0.4,-0.019,1.8,-0.018,-3.4,-1,-3.39,0.085,-0.021,-0.4,-0.005,-0.9,0.017,0.112,2,1
-11,3.2,-0.001,0.01,-0.012,0.041,0.009,2.9,5.9,10.2,-0.5,0.029,0.027,-0.109,-0.07,5.8,-0.022,0.033,-0.4,0.019,-1.8,0.018,3.4,1,3.39,-0.085,0.021,0.4,0.005,0.9,-0.017,-0.112,-2,0
0.6,-0.6,0.03,0.045,0.013,0.015,0.014,14.5,9,-1,1.7,-0.017,-0.016,0.04,0.032,-2.6,-0.029,0.017,-5.4,-0.009,3.4,-0.045,-2.6,1.5,-2.06,-0.122,0.03,5.4,0.029,-4.2,0.028,0.255,7,1
-0.6,0.6,-0.03,-0.045,-0.013,-0.015,-0.014,-14.5,-9,1,-1.7,0.017,0.016,-0.04,-0.032,2.6,0.029,-0.017,5.4,0.009,-3.4,0.045,2.6,-1.5,2.06,0.122,-0.03,-5.4,-0.029,4.2,-0.028,-0.255,-7,0
9.6,1.1,0.02,0.025,0.027,0.025,0.03,7.6,8.8,-3.7,0.3,-0.01,0,0.063,0.042,-1.8,-0.053,-0.005,-4.9,-0.005,3.5,-0.01,2.8,3.2,-0.43,-0.058,0.026,4.9,0.024,0.2,0.006,0.309,11,1
-9.6,-1.1,-0.02,-0.025,-0.027,-0.025,-0.03,-7.6,-8.8,3.7,-0.3,0.01,0,-0.063,-0.042,1.8,0.053,0.005,4.9,0.005,-3.5,0.01,-2.8,-3.2,0.43,0.058,-0.026,-4.9,-0.024,-0.2,-0.006,-0.309,-11,0
2.1,-6.7,0.021,0.014,-0.135,0.017,-0.09,5.8,0.8,10.2,-0.4,0.039,0.022,-0.077,-0.045,-0.7,0.056,0.039,0,0.031,0.8,0.026,-4.1,2.1,-0.44,-0.006,0.037,0,0.009,-3,-0.005,0.062,2,1
-2.1,6.7,-0.021,-0.014,0.135,-0.017,0.09,-5.8,-0.8,-10.2,0.4,-0.039,-0.022,0.077,0.045,0.7,-0.056,-0.039,0,-0.031,-0.8,-0.026,4.1,-2.1,0.44,0.006,-0.037,0,-0.009,3,0.005,-0.062,-2,0
-12.6,-1.7,-0.024,-0.012,-0.059,-0.057,-0.06,-10.5,-8,0.1,-5.1,0,-0.013,0.044,0.016,-1.9,0.084,-0.007,3,-0.002,-0.8,0,0.4,-2.6,-0.08,-0.024,-0.039,-3,-0.034,0.5,0,-0.16,-6,1
12.6,1.7,0.024,0.012,0.059,0.057,0.06,10.5,8,-0.1,5.1,0,0.013,-0.044,-0.016,1.9,-0.084,0.007,-3,0.002,0.8,0,-0.4,2.6,0.08,0.024,0.039,3,0.034,-0.5,0,0.16,6,0
-1.6,0.7,0,0.014,0.014,-0.015,0.005,4.4,10.7,1.7,1.3,0.006,-0.005,0.089,0.069,2.9,0.075,-0.019,-4.2,0.013,0.3,0.021,2.4,1.9,0.48,-0.09,0.008,4.2,-0.002,0.9,-0.003,0,0,1
1.6,-0.7,0,-0.014,-0.014,0.015,-0.005,-4.4,-10.7,-1.7,-1.3,-0.006,0.005,-0.089,-0.069,-2.9,-0.075,0.019,4.2,-0.013,-0.3,-0.021,-2.4,-1.9,-0.48,0.09,-0.008,-4.2,0.002,-0.9,0.003,0,0,0
1.9,3.6,0.004,0.011,-0.024,-0.081,-0.041,-3.3,-2.2,-4.4,0,-0.052,-0.047,-0.104,-0.064,-7.8,-0.004,-0.02,-3.3,-0.049,0.6,-0.064,-7.9,-0.1,-2.18,-0.025,-0.011,3.3,-0.009,0.5,0.018,0.235,8,1
-1.9,-3.6,-0.004,-0.011,0.024,0.081,0.041,3.3,2.2,4.4,0,0.052,0.047,0.104,0.064,7.8,0.004,0.02,3.3,0.049,-0.6,0.064,7.9,0.1,2.18,0.025,0.011,-3.3,0.009,-0.5,-0.018,-0.235,-8,0
-13.1,-1.7,0.029,0.003,-0.061,-0.03,-0.055,-2,-6.7,-5,2.6,0.009,0.006,-0.026,-0.017,2.3,0.017,0,4.3,0.006,-0.1,0.014,-3.4,-1.3,1.82,0.133,0.027,-4.3,0.013,0.6,0.016,-0.142,-5,1
13.1,1.7,-0.029,-0.003,0.061,0.03,0.055,2,6.7,5,-2.6,-0.009,-0.006,0.026,0.017,-2.3,-0.017,0,-4.3,-0.006,0.1,-0.014,3.4,1.3,-1.82,-0.133,-0.027,4.3,-0.013,-0.6,-0.016,0.142,5,0
0.5,-4.4,0.069,0.059,0.062,0.05,0.062,15.3,2.7,-13.9,0.7,-0.042,-0.023,-0.028,-0.017,-2.5,-0.026,-0.076,-4.2,-0.037,-1.2,0.002,1.7,1.1,-0.13,0.036,0.02,4.2,0.072,-2,0.091,0.426,14,1
-0.5,4.4,-0.069,-0.059,-0.062,-0.05,-0.062,-15.3,-2.7,13.9,-0.7,0.042,0.023,0.028,0.017,2.5,0.026,0.076,4.2,0.037,1.2,-0.002,-1.7,-1.1,0.13,-0.036,-0.02,-4.2,-0.072,2,-0.091,-0.426,-14,0
0.6,1.4,0.003,0.017,0.096,-0.042,0.057,-1,3.3,-15.3,4.2,-0.056,-0.04,-0.021,-0.028,-3.1,-0.03,-0.052,-4.2,-0.055,4,-0.042,-0.1,3,-1.18,-0.104,0.016,4.2,0.006,2.1,-0.009,0.248,7,1
-0.6,-1.4,-0.003,-0.017,-0.096,0.042,-0.057,1,-3.3,15.3,-4.2,0.056,0.04,0.021,0.028,3.1,0.03,0.052,4.2,0.055,-4,0.042,0.1,-3,1.18,0.104,-0.016,-4.2,-0.006,-2.1,0.009,-0.248,-7,0
7.2,4.9,0.111,0.075,0.017,0.12,0.052,11.4,-11.6,2.9,2.8,0.002,0.01,-0.046,-0.031,0.6,-0.015,-0.024,2.8,-0.001,-0.8,0.026,-2,0.9,-0.17,0.102,0.088,-2.8,0.115,1,0.089,0.269,8,1
-7.2,-4.9,-0.111,-0.075,-0.017,-0.12,-0.052,-11.4,11.6,-2.9,-2.8,-0.002,-0.01,0.046,0.031,-0.6,0.015,0.024,-2.8,0.001,0.8,-0.026,2,-0.9,0.17,-0.102,-0.088,2.8,-0.115,-1,-0.089,-0.269,-8,0
-9.3,4.3,-0.027,-0.003,-0.021,-0.046,-0.029,-6.3,-1.6,6.1,-2.5,0.009,-0.002,-0.043,-0.045,0.4,0.046,0.011,0.9,-0.003,1.1,-0.001,1,0.3,-0.7,-0.108,-0.021,-0.9,-0.031,-0.4,-0.021,-0.04,-3,1
9.3,-4.3,0.027,0.003,0.021,0.046,0.029,6.3,1.6,-6.1,2.5,-0.009,0.002,0.043,0.045,-0.4,-0.046,-0.011,-0.9,0.003,-1.1,0.001,-1,-0.3,0.7,0.108,0.021,0.9,0.031,0.4,0.021,0.04,3,0
-5.9,1.4,-0.042,-0.006,0.035,-0.102,-0.005,-7.8,1.3,-3.2,-1.6,-0.022,-0.033,0.045,0.035,-6.1,0.101,-0.029,-2.8,-0.014,4.8,-0.004,-3.2,2.4,-4.38,-0.157,-0.042,2.8,-0.048,0.1,-0.024,0.031,1,1
5.9,-1.4,0.042,0.006,-0.035,0.102,0.005,7.8,-1.3,3.2,1.6,0.022,0.033,-0.045,-0.035,6.1,-0.101,0.029,2.8,0.014,-4.8,0.004,3.2,-2.4,4.38,0.157,0.042,-2.8,0.048,-0.1,0.024,-0.031,-1,0
-0.6,0.8,-0.04,-0.025,0.029,-0.051,0,-6.2,-4.9,7.9,-2.4,0.012,0.008,-0.036,-0.036,3.7,0.014,0.011,4.9,0.003,2.3,0.01,-0.1,3.4,-1.59,-0.048,-0.035,-4.9,-0.04,-2.4,-0.031,-0.088,-6,1
0.6,-0.8,0.04,0.025,-0.029,0.051,0,6.2,4.9,-7.9,2.4,-0.012,-0.008,0.036,0.036,-3.7,-0.014,-0.011,-4.9,-0.003,-2.3,-0.01,0.1,-3.4,1.59,0.048,0.035,4.9,0.04,2.4,0.031,0.088,6,0
-1.8,0.9,-0.041,-0.02,-0.005,-0.072,-0.028,0.6,9.8,8.1,-0.6,-0.02,-0.034,0.018,0.011,-5.4,0.1,-0.017,-6.1,-0.017,3,-0.025,-9.7,2,-1.71,-0.115,-0.001,6.1,-0.046,-2.3,-0.064,0.087,0,1
1.8,-0.9,0.041,0.02,0.005,0.072,0.028,-0.6,-9.8,-8.1,0.6,0.02,0.034,-0.018,-0.011,5.4,-0.1,0.017,6.1,0.017,-3,0.025,9.7,-2,1.71,0.115,0.001,-6.1,0.046,2.3,0.064,-0.087,0,0
5.3,2.6,-0.033,-0.021,-0.013,-0.021,-0.015,1,10.6,10.5,-1.3,-0.018,-0.015,0.026,0.009,0.7,0.004,-0.016,-4.3,-0.018,-0.4,-0.013,-4.6,0.1,0.72,-0.044,-0.023,4.3,-0.033,-0.5,-0.03,0.054,2,1
-5.3,-2.6,0.033,0.021,0.013,0.021,0.015,-1,-10.6,-10.5,1.3,0.018,0.015,-0.026,-0.009,-0.7,-0.004,0.016,4.3,0.018,0.4,0.013,4.6,-0.1,-0.72,0.044,0.023,-4.3,0.033,0.5,0.03,-0.054,-2,0
7.6,1.2,0.004,0.006,-0.048,-0.034,-0.046,7.6,11.1,8.8,1,-0.003,-0.002,0.006,-0.007,4.3,0.003,-0.013,-2.3,-0.007,5.4,0.005,3.4,5.7,-0.17,0.004,-0.018,2.3,-0.005,-1.7,0.023,0.182,7,1
-7.6,-1.2,-0.004,-0.006,0.048,0.034,0.046,-7.6,-11.1,-8.8,-1,0.003,0.002,-0.006,0.007,-4.3,-0.003,0.013,2.3,0.007,-5.4,-0.005,-3.4,-5.7,0.17,-0.004,0.018,-2.3,0.005,1.7,-0.023,-0.182,-7,0
-6,0,-0.045,-0.036,-0.032,-0.067,-0.045,-4,9.7,-4.2,2.1,0.002,0.016,-0.023,-0.011,8,-0.062,-0.016,0.8,0.001,0.6,0.026,-0.7,0.7,2.15,-0.016,-0.024,-0.8,-0.051,-0.1,-0.049,0.044,1,1
6,0,0.045,0.036,0.032,0.067,0.045,4,-9.7,4.2,-2.1,-0.002,-0.016,0.023,0.011,-8,0.062,0.016,-0.8,-0.001,-0.6,-0.026,0.7,-0.7,-2.15,0.016,0.024,0.8,0.051,0.1,0.049,-0.044,-1,0
5.6,-4,0.024,-0.004,0.091,-0.07,0.042,-1.2,-1.1,13.4,1.8,0.039,0.017,-0.046,-0.03,1.5,0.1,0.028,0.9,0.032,-1,0.035,-0.8,-0.6,0.1,0.181,-0.007,-0.9,0.021,3,0.04,-0.161,-5,1
-5.6,4,-0.024,0.004,-0.091,0.07,-0.042,1.2,1.1,-13.4,-1.8,-0.039,-0.017,0.046,0.03,-1.5,-0.1,-0.028,-0.9,-0.032,1,-0.035,0.8,0.6,-0.1,-0.181,0.007,0.9,-0.021,-3,-0.04,0.161,5,0
1.5,-2.7,-0.003,-0.007,0.02,0.103,0.058,-6.2,-6.8,-3.4,-0.5,-0.014,-0.014,0.048,0.026,-1.7,0.026,-0.017,0.7,-0.011,-2.1,-0.006,-3.8,-1.3,1.38,-0.004,0.031,-0.7,0.017,3.5,-0.027,-0.333,-11,1
-1.5,2.7,0.003,0.007,-0.02,-0.103,-0.058,6.2,6.8,3.4,0.5,0.014,0.014,-0.048,-0.026,1.7,-0.026,0.017,-0.7,0.011,2.1,0.006,3.8,1.3,-1.38,0.004,-0.031,0.7,-0.017,-3.5,0.027,0.333,11,0
7.4,3.3,0.072,0.044,-0.044,0.066,-0.01,10.5,-10.8,2.5,-2,0.01,0.002,-0.09,-0.047,3.5,0.03,0.019,5.8,0.009,-2.2,0.001,-3.7,-0.7,-1.94,0.103,0.047,-5.8,0.068,-3.2,0.066,0.078,2,1
-7.4,-3.3,-0.072,-0.044,0.044,-0.066,0.01,-10.5,10.8,-2.5,2,-0.01,-0.002,0.09,0.047,-3.5,-0.03,-0.019,-5.8,-0.009,2.2,-0.001,3.7,0.7,1.94,-0.103,-0.047,5.8,-0.068,3.2,-0.066,-0.078,-2,0
-7.5,-0.1,-0.05,-0.045,0.141,0.017,0.104,-7.4,2.8,6,1.6,0.029,0.015,0.021,0.009,-0.6,0.056,0.016,-1,0.024,1.3,0.027,3.2,0,-0.29,0.018,-0.049,1,-0.027,3.3,-0.039,-0.063,-2,1
7.5,0.1,0.05,0.045,-0.141,-0.017,-0.104,7.4,-2.8,-6,-1.6,-0.029,-0.015,-0.021,-0.009,0.6,-0.056,-0.016,1,-0.024,-1.3,-0.027,-3.2,0,0.29,-0.018,0.049,-1,0.027,-3.3,0.039,0.063,2,0
-3.7,2.7,0.007,0.027,0.018,-0.042,0,0.2,7.1,-6.9,-3.2,-0.069,-0.053,-0.002,-0.006,-11.4,-0.009,-0.067,-10.5,-0.062,-1.9,-0.047,-1.5,-1.7,-1.55,-0.072,-0.044,10.5,0.003,2.2,0.049,0.226,7,1
3.7,-2.7,-0.007,-0.027,-0.018,0.042,0,-0.2,-7.1,6.9,3.2,0.069,0.053,0.002,0.006,11.4,0.009,0.067,10.5,0.062,1.9,0.047,1.5,1.7,1.55,0.072,0.044,-10.5,-0.003,-2.2,-0.049,-0.226,-7,0
-1,-2.7,0.026,0.015,0.034,0.036,0.037,5.8,-4.7,-0.9,2.8,0.021,0.022,-0.112,-0.095,-3.8,-0.004,-0.005,0,0.003,-0.8,0.039,-1,-0.5,-1.05,0.029,0.031,0,0.031,-2.3,0.014,0.162,5,1
1,2.7,-0.026,-0.015,-0.034,-0.036,-0.037,-5.8,4.7,0.9,-2.8,-0.021,-0.022,0.112,0.095,3.8,0.004,0.005,0,-0.003,0.8,-0.039,1,0.5,1.05,-0.029,-0.031,0,-0.031,2.3,-0.014,-0.162,-5,0
6.2,-2.7,0.002,-0.029,-0.107,-0.053,-0.093,-4,-2.5,-15.2,5.8,-0.04,-0.019,0.012,0.012,-2.9,-0.087,-0.037,0.1,-0.033,-0.9,-0.031,0.3,-1.2,-0.17,0.179,0.009,-0.1,-0.015,0.5,-0.007,0.126,8,1
-6.2,2.7,-0.002,0.029,0.107,0.053,0.093,4,2.5,15.2,-5.8,0.04,0.019,-0.012,-0.012,2.9,0.087,0.037,-0.1,0.033,0.9,0.031,-0.3,1.2,0.17,-0.179,-0.009,0.1,0.015,-0.5,0.007,-0.126,-8,0
10.6,0.5,-0.033,-0.017,0.041,-0.036,0.016,-2.8,0.9,-4.7,-2.9,-0.025,-0.005,-0.011,-0.023,1.1,-0.055,-0.072,1,-0.029,4.5,0.017,0,1.9,-1.72,-0.036,-0.048,-1,-0.03,-1.3,-0.005,0.059,2,1
-10.6,-0.5,0.033,0.017,-0.041,0.036,-0.016,2.8,-0.9,4.7,2.9,0.025,0.005,0.011,0.023,-1.1,0.055,0.072,-1,0.029,-4.5,-0.017,0,-1.9,1.72,0.036,0.048,1,0.03,1.3,0.005,-0.059,-2,0
1.1,0.6,0.021,-0.009,0.008,0.012,0.009,3.5,-4.9,-3.4,0,0.02,0.017,-0.03,-0.025,-4,0.013,0.004,0.3,0.013,-4.6,0.029,0.2,-2.8,2.22,0.112,0.048,-0.3,0.021,-1.2,-0.017,0.057,2,1
-1.1,-0.6,-0.021,0.009,-0.008,-0.012,-0.009,-3.5,4.9,3.4,0,-0.02,-0.017,0.03,0.025,4,-0.013,-0.004,-0.3,-0.013,4.6,-0.029,-0.2,2.8,-2.22,-0.112,-0.048,0.3,-0.021,1.2,0.017,-0.057,-2,0
-1,5,-0.043,-0.023,-0.039,0.018,-0.022,-6.4,1.2,5.6,-2.9,-0.008,-0.006,0,-0.013,1.8,-0.024,0.017,0.5,-0.012,0.9,-0.026,0.7,0.7,1.2,-0.068,-0.038,-0.5,-0.038,0.3,-0.028,-0.097,-3,1
1,-5,0.043,0.023,0.039,-0.018,0.022,6.4,-1.2,-5.6,2.9,0.008,0.006,0,0.013,-1.8,0.024,-0.017,-0.5,0.012,-0.9,0.026,-0.7,-0.7,-1.2,0.068,0.038,0.5,0.038,-0.3,0.028,0.097,3,0
-6.7,1.7,0.006,-0.008,0.002,-0.028,-0.007,1.6,6.1,-5.4,2.5,-0.059,-0.045,0.086,0.05,-2.6,-0.055,-0.023,-5.2,-0.048,-3.5,-0.074,6.2,-1.8,-2.24,0.057,0.022,5.2,0.002,1.8,-0.014,0.1,4,1
6.7,-1.7,-0.006,0.008,-0.002,0.028,0.007,-1.6,-6.1,5.4,-2.5,0.059,0.045,-0.086,-0.05,2.6,0.055,0.023,5.2,0.048,3.5,0.074,-6.2,1.8,2.24,-0.057,-0.022,-5.2,-0.002,-1.8,0.014,-0.1,-4,0
1.8,0.6,0.036,0.04,0.069,-0.016,0.043,4.1,2.2,4,-1.4,-0.03,-0.031,-0.129,-0.1,-1.1,0.016,-0.012,-4,-0.039,-3.8,-0.035,2.1,-2.5,-0.87,-0.018,-0.004,4,0.034,1.8,0.065,0.095,5,1
-1.8,-0.6,-0.036,-0.04,-0.069,0.016,-0.043,-4.1,-2.2,-4,1.4,0.03,0.031,0.129,0.1,1.1,-0.016,0.012,4,0.039,3.8,0.035,-2.1,2.5,0.87,0.018,0.004,-4,-0.034,-1.8,-0.065,-0.095,-5,0
0,-2.5,-0.014,-0.017,0.122,-0.024,0.08,-0.1,3.6,-8.3,3.4,0.028,0.043,0.06,0.039,-2.5,-0.078,-0.005,-1.9,0.027,0.6,0.058,2.1,-2,3.05,0.021,0,1.9,-0.004,0.8,-0.021,-0.047,-2,1
0,2.5,0.014,0.017,-0.122,0.024,-0.08,0.1,-3.6,8.3,-3.4,-0.028,-0.043,-0.06,-0.039,2.5,0.078,0.005,1.9,-0.027,-0.6,-0.058,-2.1,2,-3.05,-0.021,0,-1.9,0.004,-0.8,0.021,0.047,2,0
7.1,-1.2,0.006,0.014,-0.006,-0.059,-0.026,3.2,1.9,-9.8,0.5,-0.016,0.006,0.01,0.01,2.5,-0.09,-0.032,0.4,-0.012,-2.3,0.009,5.1,0.1,-0.56,-0.06,0.011,-0.4,-0.004,-2,0.001,0.076,4,1
-7.1,1.2,-0.006,-0.014,0.006,0.059,0.026,-3.2,-1.9,9.8,-0.5,0.016,-0.006,-0.01,-0.01,-2.5,0.09,0.032,-0.4,0.012,2.3,-0.009,-5.1,-0.1,0.56,0.06,-0.011,0.4,0.004,2,-0.001,-0.076,-4,0
-8.7,-2.3,-0.039,-0.029,0.07,0.015,0.055,-6.3,1.7,12.7,0,0.011,0,0.032,0.008,0.1,0.043,0.021,-1,0.006,-0.4,-0.002,-1.6,-1.7,0.26,-0.075,0.016,1,-0.026,2,-0.069,-0.121,-5,1
8.7,2.3,0.039,0.029,-0.07,-0.015,-0.055,6.3,-1.7,-12.7,0,-0.011,0,-0.032,-0.008,-0.1,-0.043,-0.021,1,-0.006,0.4,0.002,1.6,1.7,-0.26,0.075,-0.016,-1,0.026,-2,0.069,0.121,5,0
18,-6.5,0.047,0.017,-0.003,0.046,0.015,-0.6,-9.6,-12.6,1.3,-0.005,0.018,-0.062,-0.034,-2.3,-0.107,-0.041,2.7,-0.006,-0.5,0.02,-0.7,0.3,1.53,0.147,0.015,-2.7,0.047,2.5,0.06,0.134,5,1
