,winner,loser,winner_score,loser_score,year,joincol,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,wins,did_win
0,LOYOLA-IL,ALCORN-STATE,69,44,2016,1,-2.5,2.5,-0.072,-0.057,0.018,-0.057,-0.005,-8,10.4,6.2,-2.7,-0.041,-0.028,0.062,0.02,5,-0.017,-0.058,-2.2,-0.04,-2.9,-0.018,2.3,-0.6,-11.97,-0.02,-0.057,2.2,-0.069,1.5,-0.062,0,0,0
0,ALABAMA-BIRMINGHAM,ARKANSAS-PINE-BLUFF,86,66,2016,1,12.1,3.7,0.055,0.059,0.036,0.084,0.054,16.9,0.4,-8.9,-0.2,-0.017,-0.017,-0.271,-0.196,-6.8,-0.022,0.024,-5.6,-0.037,-5.9,-0.051,-0.9,-5.4,8.45,-0.038,0.013,5.6,0.062,-5.1,0.074,0.296,10,1
0,ALABAMA-BIRMINGHAM,ARKANSAS-PINE-BLUFF,86,66,2016,1,-12.1,-3.7,-0.055,-0.059,-0.036,-0.084,-0.054,-16.9,-0.4,8.9,0.2,0.017,0.017,0.271,0.196,6.8,0.022,-0.024,5.6,0.037,5.9,0.051,0.9,5.4,-8.45,0.038,-0.013,-5.6,-0.062,5.1,-0.074,-0.296,-10,0
0,NORTH-DAKOTA-STATE,ARKANSAS-STATE,76,66,2016,1,-1,2.8,0.004,-0.003,-0.031,0.073,0.008,1.3,-5.7,-0.3,-2,0.011,-0.004,-0.11,-0.068,0.4,0.022,0.064,2.1,0.005,-1.2,-0.038,0,1,-0.53,0.049,-0.012,-2.1,0.014,-1.4,0.011,0.008,-1,1
0,NORTH-DAKOTA-STATE,ARKANSAS-STATE,76,66,2016,1,1,-2.8,-0.004,0.003,0.031,-0.073,-0.008,-1.3,5.7,0.3,2,-0.011,0.004,0.11,0.068,-0.4,-0.022,-0.064,-2.1,-0.005,1.2,0.038,0,-1,0.53,-0.049,0.012,2.1,-0.014,1.4,-0.011,-0.008,1,0
0,DAYTON,AUSTIN-PEAY,96,68,2016,1,20.8,5.6,0.003,-0.004,0.031,-0.018,0.015,2,1.4,4,2.7,-0.085,-0.078,0.052,0.03,-7.7,0.014,-0.045,-4.8,-0.072,2.8,-0.096,-2.4,3.4,6.59,0.008,0.03,4.8,0.002,-0.4,-0.022,0.383,13,1
0,DAYTON,AUSTIN-PEAY,96,68,2016,1,-20.8,-5.6,-0.003,0.004,-0.031,0.018,-0.015,-2,-1.4,-4,-2.7,0.085,0.078,-0.052,-0.03,7.7,-0.014,0.045,4.8,0.072,-2.8,0.096,2.4,-3.4,-6.59,-0.008,-0.03,-4.8,-0.002,0.4,0.022,-0.383,-13,0
0,BALL-STATE,SAINT-LOUIS,85,64,2016,1,-3.5,0.3,0.07,0.057,0.002,0.055,0.019,13.6,4.1,-16.4,-2.7,-0.02,-0.017,-0.033,-0.016,0.9,-0.019,0,-3.1,-0.017,0.3,-0.03,7.2,0.6,-5.42,0.03,0.037,3.1,0.069,-0.4,0.077,0.254,9,1
0,BALL-STATE,SAINT-LOUIS,85,64,2016,1,3.5,-0.3,-0.07,-0.057,-0.002,-0.055,-0.019,-13.6,-4.1,16.4,2.7,0.02,0.017,0.033,0.016,-0.9,0.019,0,3.1,0.017,-0.3,0.03,-7.2,-0.6,5.42,-0.03,-0.037,-3.1,-0.069,0.4,-0.077,-0.254,-9,0
0,ST-JOHNS-NY,BETHUNE-COOKMAN,100,53,2016,1,-1.8,7.3,0.031,0.018,0.088,0.062,0.08,5.2,-3.7,-4.8,-0.8,-0.005,-0.008,0.005,0.015,-2.2,-0.018,0.04,0.1,0.001,0.4,-0.038,3.8,-1.4,19.6,0.03,0.044,-0.1,0.043,0.3,0.008,0.111,4,1
